custom_id,url,asin,brand,modelno,category1,pcategory1,category2,pcategory2,title,listprice,price,prodfeatures,techdetails,proddescrshort,proddescrlong,dimensions,imageurl,itemweight,shipweight,orig_prodfeatures,orig_techdetails
1,http://www.amazon.com/Koss-EQ50-3-Band-Stereo-Equalizer/dp/B00005UPF6/,B00005UPF6,Koss,152132,Headphone Accessories,Accessories Supplies,Equalizers,Home Audio Theater,Koss EQ50 3-Band Stereo Equalizer,19.99,12.65,,10dB boost or cut per channel Unity gain amplifier limits power output to conserve battery power from the source Ideal for use with laptops or portable DVD amp MP3 players Pocket-size for easy travel and portability Requires 2 AAA batteries not included for 20-30 hours of usage 3-Band Stereo Equalizer For Expanded Frequency Response and Acoustical Contouring Level Controls For Bass Midrange and Treble Provide Added Sound Definition Pocket Size Provides 2-30 Hours Of Usage,The Koss EQ50 is a three band stereo equalizer for expanded frequency response and acoustical contouring. Level controls for bass midrange and treble provide added sound definition.,The pocket-size Koss 3-Band Equalizer delivers high-fidelity performance and output normally reserved for more expensive home systems. With a 10dB boost or -10dB cut range of level it features a 3-band equalizer that allows for convenient and individual bass midrange and treble adjustment. Power output is greater than 20mW per channel providing clean and undistorted output into your favorite stereophones. Ergonomically designed for easy handling a rotary volume control and on off switch are placed for convenient usage.,7.6 x 4.8 x 1.4 inches,http://ecx.images-amazon.com/images/I/4124dZb2J7L._SL500_AA300_.jpg,3.2 ounces,1 pounds,,"<ul><li>10dB boost or cut per channel</li> <li>Unity gain amplifier limits power output to conserve battery power from the source</li> <li>Ideal for use with laptops or portable DVD &amp; MP3 players</li> <li>Pocket-size for easy travel and portability</li> <li>Requires 2 AAA batteries (not included) for 20-30 hours of usage</li> <li>3-Band Stereo Equalizer For Expanded Frequency Response and Acoustical Contouring</li> <li>Level Controls For Bass, Midrange and Treble Provide Added Sound Definition</li> <li>Pocket Size</li> <li>Provides 2-30 Hours Of Usage</li> </ul>"
2,http://www.amazon.com/Kodak-Black-Ink-Cartridge-1163641/dp/B0035JJJ96/,B0035JJJ96,Kodak,1163641,Inkjet Printer Ink,Printer Ink Toner,,,Kodak Black Ink Cartridge 10B 1163641,,10.28,,Ships in foil packaging,,Kodak Black Ink Cartridge 10B is a standard black ink cartridge,5.3 x 3.2 x 1.2 inches,http://ecx.images-amazon.com/images/I/41%2B2Ea6CNdL._SL500_AA300_.jpg,1.9 ounces,1 pounds,,<ul><li>Ships in foil packaging</li> </ul>
3,http://www.amazon.com/Kingston-128MX64-PC2700-KTC-D320-1G/dp/B00008XOKZ/,B00008XOKZ,Kingston,KTC-D320/1G,Computers Accessories,Electronics,,,Kingston 128MX64 PC2700 COMPAQ Evo D320 KTC-D320 1G,60.00,33.75,,DC341A,,1GB - 333MHz DDR333 PC2700 - DDR SDRAM - 184-pin DIMM,6.8 x 2.2 x 0.5 inches,http://ecx.images-amazon.com/images/I/21D2P6AN4TL._SL500_AA300_.jpg,1.3 ounces,1 pounds,,<ul><li># DC341A</li> </ul>
4,http://www.amazon.com/Kinamax-MS-UES2-Precision-3-Button-Retractable/dp/B000HJ75MK/,B000HJ75MK,Kinamax,MS-UES2,Mice,Keyboards Mice Input Devices,,,Kinamax MS-UES2 Mini High Precision USB 3-Button 3D Optical Scroll Wheel Mouse with Retractable Cable Black,,6.99,,Support Inquiries support sabrent.com Features Bluetooth technology and omni-directional performance Provides smooth operation on most surfaces Can move seamlessly through documents or browse the Web Free yourself from wires,,KINAMAX MS-UES2 Mini High Precision USB 3-Button 3D Optical Scroll Wheel Mouse with Retractable Cable This USB Optical Mini Mouse 800 DPI is an excellent tool for mobile professionals. The 800 dpi resolution offers twice the accuracy of standard mice and is ideal for graphics and web designers who demand pinpoint accuracy. It is small lightweight consumes virtually no room in laptop carry-bags works on most surfaces and needs just inches for accurate movement. The included retractable USB cord helps avoid extra cable cluttering your workspace by adjusting the retractable cord to just the length you require. Furthermore this compact mouse fits easily into a travel pouch for easy storage. The ergonomic contour design offers comfortable use for hours moreover its greater speed reduces excessive and potentially harmful arm movement. This Mini Mouse also features a retractable cable that is quick and easy to manage without the tangles and mess of standard cables. Its optical technology provides precise tracking on almost any surface. Just plug into the USB port and its works within seconds. This unit is USB ready Plug-n-Play and Hot Pluggable. Features Convenient Roller Button The Roller Button can be used for fast browsing up down left right on the internet in Windows documents. as well as zooming in Microsoft Office and Internet Explorer. Sleek and ergonomic designed mouse With a sleek contoured shape in classic. elegant color the PowerScroll Point is a comfortable fir for both hands and for long time operation. Plus it provides high precision mouse movements for the internet multimedia or latest Windows environments High precision optical sensor sends 1 500 signals per second to digital signal processor to determine exact location so it never needs a mouse ball like a traditional mouse. Plus it eliminates erratic cursor movement and dust accumulation.,4.3 x 2.8 x 1.3 inches,http://ecx.images-amazon.com/images/I/31gI-p6dTLL._SL500_AA300_.jpg,1.6 ounces,1 pounds,,<ul><li>Support Inquiries: support@sabrent.com</li> <li>Features Bluetooth technology and omni-directional performance</li> <li>Provides smooth operation on most surfaces</li> <li>Can move seamlessly through documents or browse the Web</li> <li>Free yourself from wires</li> </ul>
5,http://www.amazon.com/Kensington-K72349US-Wireless-Mouse-Netbooks/dp/B002LARRY4/,B002LARRY4,Kensington,K72349US,Mice,Keyboards Mice Input Devices,,,Kensington K72349US Wireless Mouse for Netbooks,24.99,24.00,,Stay plugged in with a nano receiver Web surfing is a joy with built-in scroll wheel A wireless receiver means no more messy cables Plug-n-play Optical sensor,,Wireless MOUSE FOR NETBOOKS USBWRLS,4.1 x 3.2 x 1.5 inches,http://ecx.images-amazon.com/images/I/31eIBC9AkVL._SL500_AA300_.jpg,2.1 ounces,1 pounds,,<ul><li>Stay plugged in with a nano receiver</li> <li>Web surfing is a joy with built-in scroll wheel</li> <li>A wireless receiver means no more messy cables</li> <li>Plug-n-play</li> <li>Optical sensor</li> </ul>
6,http://www.amazon.com/Kensington-BlackBelt-Protection-Band-K39324US/dp/B004TF3Q0I/,B004TF3Q0I,Kensington,K39324US,Cases Sleeves,Touch Screen Tablet Accessories,,,Kensington BlackBelt Protection Band for iPad 2 K39324US,29.99,23.92,,Band provides crash impact protection for edges and cushions iPad 2 Rubber edge provides all around protection from shocks and scratches even on flat surfaces A secure grip makes handling easy in any iPad orientation Camera opening allows for FaceTime use Designed for easy port access to all iPad controls and 30-pin connector,,The Kensington BlackBelt TM protects the edges and cushions your iPad 2 while offering a secure grip for handling in any iPad orientation. A camera opening allows for FaceTime use. The rubber edge provides all around protection for shocks and scratches even on flat surfaces. And the BlackBelt band offers easy port access to all iPad controls and 30-pin connector plus is easily installed and removed.,11.4 x 7.6 x 0.9 inches,http://ecx.images-amazon.com/images/I/41guGyT-0aL._AA300_.jpg,8 ounces,1 pounds,,<ul><li>Band provides crash impact protection for edges and cushions iPad 2</li> <li>Rubber edge provides all around protection from shocks and scratches even on flat surfaces</li> <li>A secure grip makes handling easy in any iPad orientation</li> <li>Camera opening allows for FaceTime use</li> <li>Designed for easy port access to all iPad controls and 30-pin connector</li> </ul>
7,http://www.amazon.com/JUST5-Unlocked-Amplified-Personal-Emergency/dp/B003ZYQTHG/,B003ZYQTHG,JUST5,J509black,Unlocked Phones,Cell Phones Accessories,Computers Accessories,Electronics,JUST5 J509 Easy to Use Unlocked Cell Phone with Big Buttons Amplified Sound Personal Emergency Response System Black,119.99,64.11,,Extremely Easy to Use Big Buttons Amplified Sound Personal Emergensy Response System PERS Unlocked GSM phone,,Extremely Easy to use cell phone with Big Buttons Amplified Sound and Personal Emergency Response System PERS Unlocked GSM device can be used with AT amp T or T-Mobile phone plans any GSM sim card will work with it. Not for Verizon users,4.0 x 2.0 x 0.6 inches,http://ecx.images-amazon.com/images/I/41otT4hBNoL._SL500_AA300_.jpg,1 pounds,1 pounds,,"<ul><li>Extremely Easy to Use</li><li>Big Buttons</li><li>Amplified Sound</li><li>Personal Emergensy Response System (PERS)</li><li>Unlocked GSM phone</li></ul>"
8,http://www.amazon.com/Imation-700MB-80MIN-52X-SPINDLE-17301/dp/B0006A0BEE/,B0006A0BEE,Imation,17301,CD-R Discs,Blank Media,,,Imation Corp 50PK CDR 700MB 80MIN 52X-SPINDLE 17301,757.99,10.29,,Records up to 52X. Creates a CD in less than 4 minutes. 80 minute 700MB capacity. Choose silver branded gold silver or white printable and neon colors. SOLD BY THE PK,,Imation 52x CD-R Media 17301 CD Media,5.5 x 5.5 x 3.6 inches,http://ecx.images-amazon.com/images/I/31OSY7wRwNL._SL500_AA300_.jpg,1.9 pounds,2 pounds,,"<ul><li>Records up to 52X.</li> <li>Creates a CD in less than 4 minutes.</li> <li>80 minute/700MB capacity.</li> <li>Choose silver branded, gold, silver or white printable and neon colors.</li> <li>SOLD BY THE PK</li> </ul>"
9,http://www.amazon.com/Imation-17340-16x-DVD-R-Media/dp/B000WXCH4C/,B000WXCH4C,Imation,17340,DVD-R Discs,Blank Media,,,16x DVD-R Media,18.31,6.99,,DVD-R write-once single-sided speed 16x capacity 4.7GB 25-Pack spindle. SOLD BY THE PK,,Imation 16x DVD-R Media 17340 DVD Media,5.5 x 5.5 x 2.2 inches,http://ecx.images-amazon.com/images/I/41kzs0etvFL._SL500_AA300_.jpg,1 ounces,1.1 pounds,,<ul><li>DVD-R write-once single-sided speed 16x capacity 4.7GB 25-Pack spindle.</li> <li>SOLD BY THE PK</li> </ul>
10,http://www.amazon.com/iGo-Arctic-Laptop-Cooling-AC05065-0001/dp/B004W7D6NK/,B004W7D6NK,iGo,AC05065-0001,Cleaning Repair,Computer Accessories,,,iGo Arctic Laptop Cooling Pad AC05065-0001,,29.99,,Movable fan that can be placed right under the hot zone of the laptop High speed fan designed exclusively for the Arctic USB powered - no batteries required Designed to maximize the cooling effect and minimize noise Light and open inner design to optimize the airflow Built-in dampening feature to prevent rattling and vibration Hidden Micro USB port Integrated cable management,,Every laptop has different hot spots and only iGo s patent-pending moveable fan directly targets laptop s hot spot maximizing the cooling and heat-protection.,12.8 x 11.0 x 1.4 inches,http://ecx.images-amazon.com/images/I/41JEC8gxqUL._SL500_AA300_.jpg,1.4 pounds,2 pounds,,<ul><li>Movable fan that can be placed right under the hot zone of the laptop</li> <li>High speed fan designed exclusively for the Arctic</li> <li>USB powered - no batteries required</li> <li>Designed to maximize the cooling effect and minimize noise</li> <li>Light and open inner design to optimize the airflow</li> <li>Built-in dampening feature to prevent rattling and vibration</li> <li>Hidden Micro USB port</li> <li>Integrated cable management</li> </ul>
