gid,oid,ptype100k,age,late_age,late_id,early_age,early_id,descrip,comments,name,strat_name
10425,0,Thtc,middle and lower Miocene and upper Oligocene,Middle Miocene,487,Late Oligocene,485,"Tan to reddish-tan to gray coarse clastic conglomerates and conglomeratic sandstones, laterally interfingering with or overlying fine-grained facies (Thtf) and gypsum facies (Thtg). Clast sizes, degree of angularity and lithology vary widely through the exposures. Mostly composed of debris flow, sheet flow and stream flow deposits formed in an alluvial fan environment, although some local deposits may represent axial fluvial systems (e.g., Beard, 1996, Anderson, 2003). Thickness highly variable, ranging from 0 to at least 400 m. In Frenchman Mountain area the conglomerates occur only in southern part of Thumb exposures, but in central and northeast part of quadrangle they are common, especially along margins of basin. At East Longwell Ridge on the east side of the Muddy Mountains, conglomerate fills paleocanyons cut into the Paleozoic bedrock. A tuff from the base of one paleocanyon yielded an 40Ar/39Ar age of 15.12 ± .11 Ma (L.S. Beard and L.W. Snee, unpublished data). In the south Virgin Mountains includes tuffs dated at 13.93 ± 0.08 Ma (40Ar/39Ar, sanidine, M. Kunk, written communication, 2000) just north of the Gold Butte fault, 13.92 ± 0.5 Ma in conglomerate just north of the Lime Ridge fault, and 14.4 ± 0.3 Ma at Horse Spring in clastic sediments overlying conglomerate derived from Gold Butte (40Ar/39Ar, Beard, 1996). Outcrop south of Hamblin Mountain and at the north end of Wilson Ridge is incompletely studied. Described by Naumann (1987) as a very poorly-sorted, matrix-supported breccia of angular to rounded clasts of rapakivi granite, quartz monzonite, gneiss, schist, sandstone, and dolomite. He interpreted the deposit to be a contact breccia formed by intrusion of Wilson Ridge pluton. Anderson (written communication, 2000) reinterpreted the deposit as a Thumb-age angular-clast conglomerate intruded by the pluton. Unit is about 400 m thick","The Horse Spring Formation is a pre- to syn-extension basin deposit defined by Longwell (1921, 1922) and divided into four members by Bohannon (1984). The four members are, in descending order, the Lovell Wash, Bitter Ridge Limestone, Thumb, and Rainbow Gardens Members. They range in age from as young as 13 Ma to about 24 Ma or older. Geochronologic data published since Bohannon (1984) originally defined the Horse Spring Formation members indicates that the stratigraphic relations between the members are quite complex, because deposition was mostly syntectonic with basin evolution. Although Bohannon originally defined the Lovell Wash Member as about 13 to 12 Ma and Bitter Ridge Member as 13.5 to 13 Ma, more recent geochronologic data have suggested that the upper part of the Bitter Ridge Member may be time correlative to the Lovell Wash Member, and the lower part of the Bitter Ridge Member may be time correlative to upper parts of the Thumb Member (Castor and others, 2000, Lamb and others, 2005). We consider the revised range of the two upper members to be from 14.3 to 13.0 Ma. Bohannon (1984) bracketed the Thumb Member to be between 17.2 and 13.5 Ma in age. In the south Virgin Mountain area this unit is more tightly constrained between ~16.2 and 14.2 Ma (Beard, 1996). New 40Ar/39Ar dates on sanidine and biotite (Donatelle and others, 2005; Martin, 2005) from the Thumb Member within the Echo Wash area range from 16.4 (biotite) to 14.6 Ma (sanidine). We consider the Thumb Member age to be most likely between about 14.2 to 16.4 Ma. Beard (1996) recognized a disconformity to angular unconformity between the Thumb and underlying Rainbow Gardens Members. Although Bohannon considered the Rainbow Gardens Member to be no older than 20 Ma, Beard (1996) reported 40Ar/39Ar ages ranging from ~26.0 to less than 18.8 Ma in the South Virgin Mountains. Carpenter and others (1989) also reported a K/Ar age on biotite of 24.3 ± 1.0 Ma from a vitric tuff in the Rainbow Gardens Member in the northern Grand Wash trough","Horse Spring Formation, Thumb Member, conglomeratic rocks",Thumb Member
2129,0,Thtc,middle and lower Miocene and upper Oligocene,Middle Miocene,487,Late Oligocene,485,"Tan to reddish-tan to gray coarse clastic conglomerates and conglomeratic sandstones, laterally interfingering with or overlying fine-grained facies (Thtf) and gypsum facies (Thtg). Clast sizes, degree of angularity and lithology vary widely through the exposures. Mostly composed of debris flow, sheet flow and stream flow deposits formed in an alluvial fan environment, although some local deposits may represent axial fluvial systems (e.g., Beard, 1996, Anderson, 2003). Thickness highly variable, ranging from 0 to at least 400 m. In Frenchman Mountain area the conglomerates occur only in southern part of Thumb exposures, but in central and northeast part of quadrangle they are common, especially along margins of basin. At East Longwell Ridge on the east side of the Muddy Mountains, conglomerate fills paleocanyons cut into the Paleozoic bedrock. A tuff from the base of one paleocanyon yielded an 40Ar/39Ar age of 15.12 ± .11 Ma (L.S. Beard and L.W. Snee, unpublished data). In the south Virgin Mountains includes tuffs dated at 13.93 ± 0.08 Ma (40Ar/39Ar, sanidine, M. Kunk, written communication, 2000) just north of the Gold Butte fault, 13.92 ± 0.5 Ma in conglomerate just north of the Lime Ridge fault, and 14.4 ± 0.3 Ma at Horse Spring in clastic sediments overlying conglomerate derived from Gold Butte (40Ar/39Ar, Beard, 1996). Outcrop south of Hamblin Mountain and at the north end of Wilson Ridge is incompletely studied. Described by Naumann (1987) as a very poorly-sorted, matrix-supported breccia of angular to rounded clasts of rapakivi granite, quartz monzonite, gneiss, schist, sandstone, and dolomite. He interpreted the deposit to be a contact breccia formed by intrusion of Wilson Ridge pluton. Anderson (written communication, 2000) reinterpreted the deposit as a Thumb-age angular-clast conglomerate intruded by the pluton. Unit is about 400 m thick","The Horse Spring Formation is a pre- to syn-extension basin deposit defined by Longwell (1921, 1922) and divided into four members by Bohannon (1984). The four members are, in descending order, the Lovell Wash, Bitter Ridge Limestone, Thumb, and Rainbow Gardens Members. They range in age from as young as 13 Ma to about 24 Ma or older. Geochronologic data published since Bohannon (1984) originally defined the Horse Spring Formation members indicates that the stratigraphic relations between the members are quite complex, because deposition was mostly syntectonic with basin evolution. Although Bohannon originally defined the Lovell Wash Member as about 13 to 12 Ma and Bitter Ridge Member as 13.5 to 13 Ma, more recent geochronologic data have suggested that the upper part of the Bitter Ridge Member may be time correlative to the Lovell Wash Member, and the lower part of the Bitter Ridge Member may be time correlative to upper parts of the Thumb Member (Castor and others, 2000, Lamb and others, 2005). We consider the revised range of the two upper members to be from 14.3 to 13.0 Ma. Bohannon (1984) bracketed the Thumb Member to be between 17.2 and 13.5 Ma in age. In the south Virgin Mountain area this unit is more tightly constrained between ~16.2 and 14.2 Ma (Beard, 1996). New 40Ar/39Ar dates on sanidine and biotite (Donatelle and others, 2005; Martin, 2005) from the Thumb Member within the Echo Wash area range from 16.4 (biotite) to 14.6 Ma (sanidine). We consider the Thumb Member age to be most likely between about 14.2 to 16.4 Ma. Beard (1996) recognized a disconformity to angular unconformity between the Thumb and underlying Rainbow Gardens Members. Although Bohannon considered the Rainbow Gardens Member to be no older than 20 Ma, Beard (1996) reported 40Ar/39Ar ages ranging from ~26.0 to less than 18.8 Ma in the South Virgin Mountains. Carpenter and others (1989) also reported a K/Ar age on biotite of 24.3 ± 1.0 Ma from a vitric tuff in the Rainbow Gardens Member in the northern Grand Wash trough","Horse Spring Formation, Thumb Member, conglomeratic rocks",Thumb Member
5961,0,Thtc,middle and lower Miocene and upper Oligocene,Middle Miocene,487,Late Oligocene,485,"Tan to reddish-tan to gray coarse clastic conglomerates and conglomeratic sandstones, laterally interfingering with or overlying fine-grained facies (Thtf) and gypsum facies (Thtg). Clast sizes, degree of angularity and lithology vary widely through the exposures. Mostly composed of debris flow, sheet flow and stream flow deposits formed in an alluvial fan environment, although some local deposits may represent axial fluvial systems (e.g., Beard, 1996, Anderson, 2003). Thickness highly variable, ranging from 0 to at least 400 m. In Frenchman Mountain area the conglomerates occur only in southern part of Thumb exposures, but in central and northeast part of quadrangle they are common, especially along margins of basin. At East Longwell Ridge on the east side of the Muddy Mountains, conglomerate fills paleocanyons cut into the Paleozoic bedrock. A tuff from the base of one paleocanyon yielded an 40Ar/39Ar age of 15.12 ± .11 Ma (L.S. Beard and L.W. Snee, unpublished data). In the south Virgin Mountains includes tuffs dated at 13.93 ± 0.08 Ma (40Ar/39Ar, sanidine, M. Kunk, written communication, 2000) just north of the Gold Butte fault, 13.92 ± 0.5 Ma in conglomerate just north of the Lime Ridge fault, and 14.4 ± 0.3 Ma at Horse Spring in clastic sediments overlying conglomerate derived from Gold Butte (40Ar/39Ar, Beard, 1996). Outcrop south of Hamblin Mountain and at the north end of Wilson Ridge is incompletely studied. Described by Naumann (1987) as a very poorly-sorted, matrix-supported breccia of angular to rounded clasts of rapakivi granite, quartz monzonite, gneiss, schist, sandstone, and dolomite. He interpreted the deposit to be a contact breccia formed by intrusion of Wilson Ridge pluton. Anderson (written communication, 2000) reinterpreted the deposit as a Thumb-age angular-clast conglomerate intruded by the pluton. Unit is about 400 m thick","The Horse Spring Formation is a pre- to syn-extension basin deposit defined by Longwell (1921, 1922) and divided into four members by Bohannon (1984). The four members are, in descending order, the Lovell Wash, Bitter Ridge Limestone, Thumb, and Rainbow Gardens Members. They range in age from as young as 13 Ma to about 24 Ma or older. Geochronologic data published since Bohannon (1984) originally defined the Horse Spring Formation members indicates that the stratigraphic relations between the members are quite complex, because deposition was mostly syntectonic with basin evolution. Although Bohannon originally defined the Lovell Wash Member as about 13 to 12 Ma and Bitter Ridge Member as 13.5 to 13 Ma, more recent geochronologic data have suggested that the upper part of the Bitter Ridge Member may be time correlative to the Lovell Wash Member, and the lower part of the Bitter Ridge Member may be time correlative to upper parts of the Thumb Member (Castor and others, 2000, Lamb and others, 2005). We consider the revised range of the two upper members to be from 14.3 to 13.0 Ma. Bohannon (1984) bracketed the Thumb Member to be between 17.2 and 13.5 Ma in age. In the south Virgin Mountain area this unit is more tightly constrained between ~16.2 and 14.2 Ma (Beard, 1996). New 40Ar/39Ar dates on sanidine and biotite (Donatelle and others, 2005; Martin, 2005) from the Thumb Member within the Echo Wash area range from 16.4 (biotite) to 14.6 Ma (sanidine). We consider the Thumb Member age to be most likely between about 14.2 to 16.4 Ma. Beard (1996) recognized a disconformity to angular unconformity between the Thumb and underlying Rainbow Gardens Members. Although Bohannon considered the Rainbow Gardens Member to be no older than 20 Ma, Beard (1996) reported 40Ar/39Ar ages ranging from ~26.0 to less than 18.8 Ma in the South Virgin Mountains. Carpenter and others (1989) also reported a K/Ar age on biotite of 24.3 ± 1.0 Ma from a vitric tuff in the Rainbow Gardens Member in the northern Grand Wash trough","Horse Spring Formation, Thumb Member, conglomeratic rocks",Thumb Member
1781,0,T2a,early Pliocene,early Pliocene,489,early Pliocene,489,"Sidestream alluvium deposited on pediment surface near depositional top of Muddy Creek Formation prior to deep dissection. Exposed widely throughout quadrangle; locally faulted on east side of Overton Arm. Probably equivalent to the ""regrade gravel"", or degradational gravel, as mapped by Schmidt (1994), Schmidt and others (1996), and Swadley and others (1995), and the Overton pediment alluvium in Moapa Valley of Gardner (1972) (see Williams and others, 1997)",,Sidestream alluvium,
1280,0,Trmip,middle Miocene,middle Miocene,487,middle Miocene,487,"Intrusive stock (Trmi) is surrounded by composite plutons formed mostly by plugs and dikes of porphyritic dacite, andesite and rhyodacite. Anderson and others (1972) obtained K/Ar ages of 12.5 ± 0.5 Ma, 12.6 ± 0.5 Ma and 13.1 ± 0.5 Ma on this unit, and Faulds and others (1999) report an 40Ar/39Ar age of 13.45 ± 0.02 Ma on a ""dacite flow"" that plots within the Trmip unit. Includes numerous zenoliths of highly altered andesite and Paleozoic limestone (Smith, 1984)","Complexly faulted volcanic field that includes: (1) an andesite stratovolcano complex, surrounded by (2) dacitic domes and flows; (3) an intrusive core to the stratovolcano exposed in the southern part; and (4) a basalt shield volcano on the northern and eastern side of the mountains. 40Ar/39Ar ages reported by Faulds and others (1999) range from 13.45 Ma on dacite flows to 12.17 Ma on the youngest basalt flow. K/Ar ages from 13.2 to 11.8 Ma obtained by Anderson and others (1972) generally fit within this range. Koski and others (1990) reported both fission track and K/Ar ages from tuffs within sedimentary rocks that host the Three Kids manganese deposit on the northern side of the River Mountains. These deposits were reported to unconformably overlie volcanics of the River Mountains; however, E. Anderson (written communication, 1998) indicates that these sediments, here mapped as red sandstone unit (Trs), are probably interlayered with the upper parts of the River Mountain volcanics. The fission track ages reported by Koski and others, 1990, of 12.4 ± 1.1 and 12.8 ± 1.0 Ma fit this correlation; however, the older K/Ar ages they report of 13.4 ± 1.0, 13.6 ± 0.4, 14.0 ± 0.3 and 16.5 ± 0.4 Ma are most likely too old. Divided into: Dacite flows and breccias (Trmd), Basalt flows (Trmb), Intrusive stock (Trmi), Composite plutons (Trmip), Volcanic flows and domes (Trmv), Flows, breccias and volcanogenic sedimentary rocks (Trmvb)","Volcanic Rocks of the River Mountains, composite plutons",
2349,0,Trmv,middle Miocene,middle Miocene,487,middle Miocene,487,"Complex unit of dacite, rhyolite and andesite flows and domes and intercalated tuffs and tuffaceous sedimentary rocks. Unit includes ""Volcanic rocks of Powerline Road"" and ""Volcanic rocks of Bootleg Wash"" of Smith (1984; see this reference for detailed descriptions). Locally includes: Flows, breccias and volcanogenic sedimentary rocks (Trmvb)","Complexly faulted volcanic field that includes: (1) an andesite stratovolcano complex, surrounded by (2) dacitic domes and flows; (3) an intrusive core to the stratovolcano exposed in the southern part; and (4) a basalt shield volcano on the northern and eastern side of the mountains. 40Ar/39Ar ages reported by Faulds and others (1999) range from 13.45 Ma on dacite flows to 12.17 Ma on the youngest basalt flow. K/Ar ages from 13.2 to 11.8 Ma obtained by Anderson and others (1972) generally fit within this range. Koski and others (1990) reported both fission track and K/Ar ages from tuffs within sedimentary rocks that host the Three Kids manganese deposit on the northern side of the River Mountains. These deposits were reported to unconformably overlie volcanics of the River Mountains; however, E. Anderson (written communication, 1998) indicates that these sediments, here mapped as red sandstone unit (Trs), are probably interlayered with the upper parts of the River Mountain volcanics. The fission track ages reported by Koski and others, 1990, of 12.4 ± 1.1 and 12.8 ± 1.0 Ma fit this correlation; however, the older K/Ar ages they report of 13.4 ± 1.0, 13.6 ± 0.4, 14.0 ± 0.3 and 16.5 ± 0.4 Ma are most likely too old. Divided into: Dacite flows and breccias (Trmd), Basalt flows (Trmb), Intrusive stock (Trmi), Composite plutons (Trmip), Volcanic flows and domes (Trmv), Flows, breccias and volcanogenic sedimentary rocks (Trmvb)","Volcanic Rocks of the River Mountains, volcanic flows and domes",
6069,0,Thtc,middle and lower Miocene and upper Oligocene,Middle Miocene,487,Late Oligocene,485,"Tan to reddish-tan to gray coarse clastic conglomerates and conglomeratic sandstones, laterally interfingering with or overlying fine-grained facies (Thtf) and gypsum facies (Thtg). Clast sizes, degree of angularity and lithology vary widely through the exposures. Mostly composed of debris flow, sheet flow and stream flow deposits formed in an alluvial fan environment, although some local deposits may represent axial fluvial systems (e.g., Beard, 1996, Anderson, 2003). Thickness highly variable, ranging from 0 to at least 400 m. In Frenchman Mountain area the conglomerates occur only in southern part of Thumb exposures, but in central and northeast part of quadrangle they are common, especially along margins of basin. At East Longwell Ridge on the east side of the Muddy Mountains, conglomerate fills paleocanyons cut into the Paleozoic bedrock. A tuff from the base of one paleocanyon yielded an 40Ar/39Ar age of 15.12 ± .11 Ma (L.S. Beard and L.W. Snee, unpublished data). In the south Virgin Mountains includes tuffs dated at 13.93 ± 0.08 Ma (40Ar/39Ar, sanidine, M. Kunk, written communication, 2000) just north of the Gold Butte fault, 13.92 ± 0.5 Ma in conglomerate just north of the Lime Ridge fault, and 14.4 ± 0.3 Ma at Horse Spring in clastic sediments overlying conglomerate derived from Gold Butte (40Ar/39Ar, Beard, 1996). Outcrop south of Hamblin Mountain and at the north end of Wilson Ridge is incompletely studied. Described by Naumann (1987) as a very poorly-sorted, matrix-supported breccia of angular to rounded clasts of rapakivi granite, quartz monzonite, gneiss, schist, sandstone, and dolomite. He interpreted the deposit to be a contact breccia formed by intrusion of Wilson Ridge pluton. Anderson (written communication, 2000) reinterpreted the deposit as a Thumb-age angular-clast conglomerate intruded by the pluton. Unit is about 400 m thick","The Horse Spring Formation is a pre- to syn-extension basin deposit defined by Longwell (1921, 1922) and divided into four members by Bohannon (1984). The four members are, in descending order, the Lovell Wash, Bitter Ridge Limestone, Thumb, and Rainbow Gardens Members. They range in age from as young as 13 Ma to about 24 Ma or older. Geochronologic data published since Bohannon (1984) originally defined the Horse Spring Formation members indicates that the stratigraphic relations between the members are quite complex, because deposition was mostly syntectonic with basin evolution. Although Bohannon originally defined the Lovell Wash Member as about 13 to 12 Ma and Bitter Ridge Member as 13.5 to 13 Ma, more recent geochronologic data have suggested that the upper part of the Bitter Ridge Member may be time correlative to the Lovell Wash Member, and the lower part of the Bitter Ridge Member may be time correlative to upper parts of the Thumb Member (Castor and others, 2000, Lamb and others, 2005). We consider the revised range of the two upper members to be from 14.3 to 13.0 Ma. Bohannon (1984) bracketed the Thumb Member to be between 17.2 and 13.5 Ma in age. In the south Virgin Mountain area this unit is more tightly constrained between ~16.2 and 14.2 Ma (Beard, 1996). New 40Ar/39Ar dates on sanidine and biotite (Donatelle and others, 2005; Martin, 2005) from the Thumb Member within the Echo Wash area range from 16.4 (biotite) to 14.6 Ma (sanidine). We consider the Thumb Member age to be most likely between about 14.2 to 16.4 Ma. Beard (1996) recognized a disconformity to angular unconformity between the Thumb and underlying Rainbow Gardens Members. Although Bohannon considered the Rainbow Gardens Member to be no older than 20 Ma, Beard (1996) reported 40Ar/39Ar ages ranging from ~26.0 to less than 18.8 Ma in the South Virgin Mountains. Carpenter and others (1989) also reported a K/Ar age on biotite of 24.3 ± 1.0 Ma from a vitric tuff in the Rainbow Gardens Member in the northern Grand Wash trough","Horse Spring Formation, Thumb Member, conglomeratic rocks",Thumb Member
4880,0,Thtc,middle and lower Miocene and upper Oligocene,Middle Miocene,487,Late Oligocene,485,"Tan to reddish-tan to gray coarse clastic conglomerates and conglomeratic sandstones, laterally interfingering with or overlying fine-grained facies (Thtf) and gypsum facies (Thtg). Clast sizes, degree of angularity and lithology vary widely through the exposures. Mostly composed of debris flow, sheet flow and stream flow deposits formed in an alluvial fan environment, although some local deposits may represent axial fluvial systems (e.g., Beard, 1996, Anderson, 2003). Thickness highly variable, ranging from 0 to at least 400 m. In Frenchman Mountain area the conglomerates occur only in southern part of Thumb exposures, but in central and northeast part of quadrangle they are common, especially along margins of basin. At East Longwell Ridge on the east side of the Muddy Mountains, conglomerate fills paleocanyons cut into the Paleozoic bedrock. A tuff from the base of one paleocanyon yielded an 40Ar/39Ar age of 15.12 ± .11 Ma (L.S. Beard and L.W. Snee, unpublished data). In the south Virgin Mountains includes tuffs dated at 13.93 ± 0.08 Ma (40Ar/39Ar, sanidine, M. Kunk, written communication, 2000) just north of the Gold Butte fault, 13.92 ± 0.5 Ma in conglomerate just north of the Lime Ridge fault, and 14.4 ± 0.3 Ma at Horse Spring in clastic sediments overlying conglomerate derived from Gold Butte (40Ar/39Ar, Beard, 1996). Outcrop south of Hamblin Mountain and at the north end of Wilson Ridge is incompletely studied. Described by Naumann (1987) as a very poorly-sorted, matrix-supported breccia of angular to rounded clasts of rapakivi granite, quartz monzonite, gneiss, schist, sandstone, and dolomite. He interpreted the deposit to be a contact breccia formed by intrusion of Wilson Ridge pluton. Anderson (written communication, 2000) reinterpreted the deposit as a Thumb-age angular-clast conglomerate intruded by the pluton. Unit is about 400 m thick","The Horse Spring Formation is a pre- to syn-extension basin deposit defined by Longwell (1921, 1922) and divided into four members by Bohannon (1984). The four members are, in descending order, the Lovell Wash, Bitter Ridge Limestone, Thumb, and Rainbow Gardens Members. They range in age from as young as 13 Ma to about 24 Ma or older. Geochronologic data published since Bohannon (1984) originally defined the Horse Spring Formation members indicates that the stratigraphic relations between the members are quite complex, because deposition was mostly syntectonic with basin evolution. Although Bohannon originally defined the Lovell Wash Member as about 13 to 12 Ma and Bitter Ridge Member as 13.5 to 13 Ma, more recent geochronologic data have suggested that the upper part of the Bitter Ridge Member may be time correlative to the Lovell Wash Member, and the lower part of the Bitter Ridge Member may be time correlative to upper parts of the Thumb Member (Castor and others, 2000, Lamb and others, 2005). We consider the revised range of the two upper members to be from 14.3 to 13.0 Ma. Bohannon (1984) bracketed the Thumb Member to be between 17.2 and 13.5 Ma in age. In the south Virgin Mountain area this unit is more tightly constrained between ~16.2 and 14.2 Ma (Beard, 1996). New 40Ar/39Ar dates on sanidine and biotite (Donatelle and others, 2005; Martin, 2005) from the Thumb Member within the Echo Wash area range from 16.4 (biotite) to 14.6 Ma (sanidine). We consider the Thumb Member age to be most likely between about 14.2 to 16.4 Ma. Beard (1996) recognized a disconformity to angular unconformity between the Thumb and underlying Rainbow Gardens Members. Although Bohannon considered the Rainbow Gardens Member to be no older than 20 Ma, Beard (1996) reported 40Ar/39Ar ages ranging from ~26.0 to less than 18.8 Ma in the South Virgin Mountains. Carpenter and others (1989) also reported a K/Ar age on biotite of 24.3 ± 1.0 Ma from a vitric tuff in the Rainbow Gardens Member in the northern Grand Wash trough","Horse Spring Formation, Thumb Member, conglomeratic rocks",Thumb Member
5810,0,Thtc,middle and lower Miocene and upper Oligocene,Middle Miocene,487,Late Oligocene,485,"Tan to reddish-tan to gray coarse clastic conglomerates and conglomeratic sandstones, laterally interfingering with or overlying fine-grained facies (Thtf) and gypsum facies (Thtg). Clast sizes, degree of angularity and lithology vary widely through the exposures. Mostly composed of debris flow, sheet flow and stream flow deposits formed in an alluvial fan environment, although some local deposits may represent axial fluvial systems (e.g., Beard, 1996, Anderson, 2003). Thickness highly variable, ranging from 0 to at least 400 m. In Frenchman Mountain area the conglomerates occur only in southern part of Thumb exposures, but in central and northeast part of quadrangle they are common, especially along margins of basin. At East Longwell Ridge on the east side of the Muddy Mountains, conglomerate fills paleocanyons cut into the Paleozoic bedrock. A tuff from the base of one paleocanyon yielded an 40Ar/39Ar age of 15.12 ± .11 Ma (L.S. Beard and L.W. Snee, unpublished data). In the south Virgin Mountains includes tuffs dated at 13.93 ± 0.08 Ma (40Ar/39Ar, sanidine, M. Kunk, written communication, 2000) just north of the Gold Butte fault, 13.92 ± 0.5 Ma in conglomerate just north of the Lime Ridge fault, and 14.4 ± 0.3 Ma at Horse Spring in clastic sediments overlying conglomerate derived from Gold Butte (40Ar/39Ar, Beard, 1996). Outcrop south of Hamblin Mountain and at the north end of Wilson Ridge is incompletely studied. Described by Naumann (1987) as a very poorly-sorted, matrix-supported breccia of angular to rounded clasts of rapakivi granite, quartz monzonite, gneiss, schist, sandstone, and dolomite. He interpreted the deposit to be a contact breccia formed by intrusion of Wilson Ridge pluton. Anderson (written communication, 2000) reinterpreted the deposit as a Thumb-age angular-clast conglomerate intruded by the pluton. Unit is about 400 m thick","The Horse Spring Formation is a pre- to syn-extension basin deposit defined by Longwell (1921, 1922) and divided into four members by Bohannon (1984). The four members are, in descending order, the Lovell Wash, Bitter Ridge Limestone, Thumb, and Rainbow Gardens Members. They range in age from as young as 13 Ma to about 24 Ma or older. Geochronologic data published since Bohannon (1984) originally defined the Horse Spring Formation members indicates that the stratigraphic relations between the members are quite complex, because deposition was mostly syntectonic with basin evolution. Although Bohannon originally defined the Lovell Wash Member as about 13 to 12 Ma and Bitter Ridge Member as 13.5 to 13 Ma, more recent geochronologic data have suggested that the upper part of the Bitter Ridge Member may be time correlative to the Lovell Wash Member, and the lower part of the Bitter Ridge Member may be time correlative to upper parts of the Thumb Member (Castor and others, 2000, Lamb and others, 2005). We consider the revised range of the two upper members to be from 14.3 to 13.0 Ma. Bohannon (1984) bracketed the Thumb Member to be between 17.2 and 13.5 Ma in age. In the south Virgin Mountain area this unit is more tightly constrained between ~16.2 and 14.2 Ma (Beard, 1996). New 40Ar/39Ar dates on sanidine and biotite (Donatelle and others, 2005; Martin, 2005) from the Thumb Member within the Echo Wash area range from 16.4 (biotite) to 14.6 Ma (sanidine). We consider the Thumb Member age to be most likely between about 14.2 to 16.4 Ma. Beard (1996) recognized a disconformity to angular unconformity between the Thumb and underlying Rainbow Gardens Members. Although Bohannon considered the Rainbow Gardens Member to be no older than 20 Ma, Beard (1996) reported 40Ar/39Ar ages ranging from ~26.0 to less than 18.8 Ma in the South Virgin Mountains. Carpenter and others (1989) also reported a K/Ar age on biotite of 24.3 ± 1.0 Ma from a vitric tuff in the Rainbow Gardens Member in the northern Grand Wash trough","Horse Spring Formation, Thumb Member, conglomeratic rocks",Thumb Member
8781,0,Thtc,middle and lower Miocene and upper Oligocene,Middle Miocene,487,Late Oligocene,485,"Tan to reddish-tan to gray coarse clastic conglomerates and conglomeratic sandstones, laterally interfingering with or overlying fine-grained facies (Thtf) and gypsum facies (Thtg). Clast sizes, degree of angularity and lithology vary widely through the exposures. Mostly composed of debris flow, sheet flow and stream flow deposits formed in an alluvial fan environment, although some local deposits may represent axial fluvial systems (e.g., Beard, 1996, Anderson, 2003). Thickness highly variable, ranging from 0 to at least 400 m. In Frenchman Mountain area the conglomerates occur only in southern part of Thumb exposures, but in central and northeast part of quadrangle they are common, especially along margins of basin. At East Longwell Ridge on the east side of the Muddy Mountains, conglomerate fills paleocanyons cut into the Paleozoic bedrock. A tuff from the base of one paleocanyon yielded an 40Ar/39Ar age of 15.12 ± .11 Ma (L.S. Beard and L.W. Snee, unpublished data). In the south Virgin Mountains includes tuffs dated at 13.93 ± 0.08 Ma (40Ar/39Ar, sanidine, M. Kunk, written communication, 2000) just north of the Gold Butte fault, 13.92 ± 0.5 Ma in conglomerate just north of the Lime Ridge fault, and 14.4 ± 0.3 Ma at Horse Spring in clastic sediments overlying conglomerate derived from Gold Butte (40Ar/39Ar, Beard, 1996). Outcrop south of Hamblin Mountain and at the north end of Wilson Ridge is incompletely studied. Described by Naumann (1987) as a very poorly-sorted, matrix-supported breccia of angular to rounded clasts of rapakivi granite, quartz monzonite, gneiss, schist, sandstone, and dolomite. He interpreted the deposit to be a contact breccia formed by intrusion of Wilson Ridge pluton. Anderson (written communication, 2000) reinterpreted the deposit as a Thumb-age angular-clast conglomerate intruded by the pluton. Unit is about 400 m thick","The Horse Spring Formation is a pre- to syn-extension basin deposit defined by Longwell (1921, 1922) and divided into four members by Bohannon (1984). The four members are, in descending order, the Lovell Wash, Bitter Ridge Limestone, Thumb, and Rainbow Gardens Members. They range in age from as young as 13 Ma to about 24 Ma or older. Geochronologic data published since Bohannon (1984) originally defined the Horse Spring Formation members indicates that the stratigraphic relations between the members are quite complex, because deposition was mostly syntectonic with basin evolution. Although Bohannon originally defined the Lovell Wash Member as about 13 to 12 Ma and Bitter Ridge Member as 13.5 to 13 Ma, more recent geochronologic data have suggested that the upper part of the Bitter Ridge Member may be time correlative to the Lovell Wash Member, and the lower part of the Bitter Ridge Member may be time correlative to upper parts of the Thumb Member (Castor and others, 2000, Lamb and others, 2005). We consider the revised range of the two upper members to be from 14.3 to 13.0 Ma. Bohannon (1984) bracketed the Thumb Member to be between 17.2 and 13.5 Ma in age. In the south Virgin Mountain area this unit is more tightly constrained between ~16.2 and 14.2 Ma (Beard, 1996). New 40Ar/39Ar dates on sanidine and biotite (Donatelle and others, 2005; Martin, 2005) from the Thumb Member within the Echo Wash area range from 16.4 (biotite) to 14.6 Ma (sanidine). We consider the Thumb Member age to be most likely between about 14.2 to 16.4 Ma. Beard (1996) recognized a disconformity to angular unconformity between the Thumb and underlying Rainbow Gardens Members. Although Bohannon considered the Rainbow Gardens Member to be no older than 20 Ma, Beard (1996) reported 40Ar/39Ar ages ranging from ~26.0 to less than 18.8 Ma in the South Virgin Mountains. Carpenter and others (1989) also reported a K/Ar age on biotite of 24.3 ± 1.0 Ma from a vitric tuff in the Rainbow Gardens Member in the northern Grand Wash trough","Horse Spring Formation, Thumb Member, conglomeratic rocks",Thumb Member
